timestamp,nb_total,Gazole,SP95,SP98,E10,E85,GPLc,temporaire,definitive
2026-04-03 13:03:49,9045,0,0,0,0,0,0,2222,7963
2026-04-03 14:38:55,9044,0,0,0,0,0,0,2238,7965
2026-04-03 15:36:00,9046,0,0,0,0,0,0,2253,7965
2026-04-03 16:34:12,9047,0,0,0,0,0,0,2270,7964
2026-04-03 17:29:36,9044,0,0,0,0,0,0,2301,7964
2026-04-03 18:39:36,9044,0,0,0,0,0,0,2317,7963
2026-04-03 19:35:07,9048,0,0,0,0,0,0,2343,7963
2026-04-03 20:30:24,9047,0,0,0,0,0,0,2353,7963
2026-04-03 21:28:38,9047,0,0,0,0,0,0,2352,7963
2026-04-03 22:27:53,9047,0,0,0,0,0,0,2354,7963
2026-04-03 23:28:45,9047,0,0,0,0,0,0,2354,7963
2026-04-04 01:46:23,9047,0,0,0,0,0,0,2354,7963
2026-04-04 04:12:47,9047,0,0,0,0,0,0,2354,7963
2026-04-04 05:53:27,9047,0,0,0,0,0,0,2351,7963
2026-04-04 06:54:12,9044,0,0,0,0,0,0,2330,7963
2026-04-04 07:45:38,9042,0,0,0,0,0,0,2316,7963
2026-04-04 08:35:04,9045,0,0,0,0,0,0,2249,7967
2026-04-04 09:32:26,9044,0,0,0,0,0,0,2271,7965
2026-04-04 10:27:29,9043,0,0,0,0,0,0,2240,7967
2026-04-04 11:25:01,9045,0,0,0,0,0,0,2263,7968
2026-04-04 12:42:07,9046,0,0,0,0,0,0,2273,7968
2026-04-04 13:49:32,9048,0,0,0,0,0,0,2287,7968
2026-04-04 14:29:36,9048,0,0,0,0,0,0,2330,7968
2026-04-04 15:26:09,9049,0,0,0,0,0,0,2359,7968
2026-04-04 16:29:03,9052,0,0,0,0,0,0,2379,7968
2026-04-04 17:25:19,9052,0,0,0,0,0,0,2420,7967
2026-04-04 18:34:05,9054,0,0,0,0,0,0,2476,7967
2026-04-04 19:27:09,9055,0,0,0,0,0,0,2496,7967
2026-04-04 20:23:53,9054,0,0,0,0,0,0,2484,7967
2026-04-04 21:26:43,9055,0,0,0,0,0,0,2496,7967
2026-04-04 22:23:39,9055,0,0,0,0,0,0,2505,7966
2026-04-04 23:26:36,9055,0,0,0,0,0,0,2507,7966
2026-04-05 01:58:48,9055,0,0,0,0,0,0,2508,7966
2026-04-05 04:40:11,9055,0,0,0,0,0,0,2507,7966
2026-04-05 06:12:34,9055,0,0,0,0,0,0,2506,7966
2026-04-05 07:53:04,9057,0,0,0,0,0,0,2530,7966
2026-04-05 08:37:33,9057,0,0,0,0,0,0,2529,7966
2026-04-05 09:34:27,9059,0,0,0,0,0,0,2572,7966
2026-04-05 10:28:20,9059,0,0,0,0,0,0,2555,7966
2026-04-05 11:25:52,9063,0,0,0,0,0,0,2628,7967
2026-04-05 12:44:19,9062,0,0,0,0,0,0,2619,7967
2026-04-05 13:51:09,9066,0,0,0,0,0,0,2665,7965
2026-04-05 14:31:11,9067,0,0,0,0,0,0,2669,7965
2026-04-05 15:26:51,9067,0,0,0,0,0,0,2673,7965
2026-04-05 16:30:18,9068,0,0,0,0,0,0,2685,7965
2026-04-05 17:25:47,9068,0,0,0,0,0,0,2682,7965
2026-04-05 18:36:06,9068,0,0,0,0,0,0,2715,7964
2026-04-05 19:30:27,9068,0,0,0,0,0,0,2734,7964
2026-04-05 20:27:01,9068,0,0,0,0,0,0,2735,7964
2026-04-05 21:26:54,9068,0,0,0,0,0,0,2734,7964
2026-04-05 22:25:52,9068,0,0,0,0,0,0,2738,7964
2026-04-05 23:28:27,9068,0,0,0,0,0,0,2739,7964
2026-04-06 01:59:50,9068,0,0,0,0,0,0,2739,7964
2026-04-06 04:50:02,9070,0,0,0,0,0,0,2748,7964
2026-04-06 06:28:47,9071,0,0,0,0,0,0,2769,7964
2026-04-06 08:21:00,9071,0,0,0,0,0,0,2785,7964
2026-04-06 10:05:02,9071,0,0,0,0,0,0,2852,7963
2026-04-06 11:43:34,9076,0,0,0,0,0,0,2887,7963
2026-04-06 12:58:51,9073,0,0,0,0,0,0,2882,7963
2026-04-06 14:12:18,9083,0,0,0,0,0,0,2912,7963
2026-04-06 15:41:06,9084,0,0,0,0,0,0,2917,7963
2026-04-06 16:40:06,9087,0,0,0,0,0,0,2944,7963
2026-04-06 17:40:13,9088,0,0,0,0,0,0,2955,7963
2026-04-06 18:51:17,9088,0,0,0,0,0,0,2974,7964
2026-04-06 19:49:07,9088,0,0,0,0,0,0,2974,7964
2026-04-06 20:33:08,9090,0,0,0,0,0,0,2975,7965
2026-04-06 21:33:45,9089,0,0,0,0,0,0,2980,7965
2026-04-06 22:30:40,9090,0,0,0,0,0,0,2983,7966
2026-04-06 23:30:20,9090,0,0,0,0,0,0,2983,7966
2026-04-07 04:31:28,9091,0,0,0,0,0,0,2964,7966
2026-04-07 06:17:23,9089,0,0,0,0,0,0,2928,7969
2026-04-07 08:09:27,9086,0,0,0,0,0,0,2945,7969
2026-04-07 10:04:11,9097,0,0,0,0,0,0,2940,7975
2026-04-07 11:50:07,9098,0,0,0,0,0,0,2903,7978
2026-04-07 13:08:09,9097,0,0,0,0,0,0,2887,7978
2026-04-07 15:03:07,9098,0,0,0,0,0,0,2855,7979
2026-04-07 16:51:34,9095,0,0,0,0,0,0,2859,7978
2026-04-07 17:54:43,9094,0,0,0,0,0,0,2874,7977
2026-04-07 18:56:52,9092,0,0,0,0,0,0,2892,7977
2026-04-07 19:55:46,9094,0,0,0,0,0,0,2914,7979
2026-04-07 20:42:23,9094,0,0,0,0,0,0,2912,7979
2026-04-07 21:37:59,9095,0,0,0,0,0,0,2921,7979
2026-04-07 22:33:24,9095,0,0,0,0,0,0,2922,7979
2026-04-07 23:33:00,9098,0,0,0,0,0,0,2924,7980
2026-04-08 01:56:49,9098,0,0,0,0,0,0,2925,7980
2026-04-08 04:36:46,9097,0,0,0,0,0,0,2893,7981
